ID_REF	GSM1150937	GSM1150938	GSM1150939	GSM1150940	GSM1150941	GSM1150942
10821117	626.76	672.85	656.29	894.69	737.08	769.87
10821134	1203.57	1129.37	1106.66	1127.18	1080.81	1095.44
10821147	472.24	455.96	436.83	479.01	446.28	472
10821149	435.27	389.81	398.09	421.77	413.95	423.33
10821163	6091.58	6211.82	5876.74	5285.04	5385.63	5520.18
10821165	446.18	461.76	417	474.73	435.03	439.27
10821180	70.51	72.77	65.25	69.57	60.69	72.68
10821184	305.82	261.22	286.44	271.11	225.13	259.75
10821194	773.28	734.31	705.88	760.12	717.3	707.13
10821207	464.55	395.35	432.02	580.39	530.57	502.58
10821216	798.56	788.55	748.4	772.59	814.48	763.75
10821218	836.58	806.42	787.99	834.45	811.31	777.18
10821237	321.34	293.72	283.28	232.58	254.1	265.57
10821241	288.95	251.14	241.22	237.29	246.87	214.28
10821243	82.07	226.28	163.25	512.5	358.5	350.15
10821250	164.07	168.64	175.13	121.5	141.28	158.85
10821252	3373.9	3448.37	3493.85	3308.36	3517.9	3661.96
10821255	1819.59	1806.15	1684.38	1922.01	1927.08	1803.65
10821266	412.26	376.41	392.8	417.21	410.26	416.05
10821276	976.48	871.86	855	489.43	670.03	653.19
10821297	57.01	65.95	60.78	56.24	54.09	56.15
10821340	716.42	706.6	646.83	677.44	667.88	672.95
10821367	288.38	298.52	302.72	270.59	244.23	274.83
10821370	70.11	70.11	76.53	44.22	54.6	56
10821377	94.05	82.46	82.62	99.43	80.25	79.87
10821383	270.22	253.67	271.8	248.62	250.43	243.57
10821389	139.09	116.78	110.77	122.01	116.61	100.12
10821392	44.93	40.67	42.59	44.3	42.88	40.19
10821395	4622.96	4503.72	4299.94	4674.19	4597.07	4639.65
10821402	786.43	687.48	669.42	430.12	528.65	522.87
10821405	260.1	224.62	253.76	229.08	221.03	235.11
10821408	331.08	296.23	346.68	334.79	291.7	305.88
10821415	464.92	466.97	510.39	672.75	561.94	619.38
10821446	405.98	406.45	376.5	281.75	330.06	313.36
10821448	151.49	127.71	138.72	123.57	120.66	124.81
10821450	1191.28	1021.09	1091.35	548.58	621.93	769.55
10821479	79	83.2	83.01	70.38	71.35	73.84
10821482	13.67	10.01	10.68	10.91	10.39	9.88
10821484	195.91	184.23	164.46	190.5	161.51	162.46
10821486	1306.15	1063.05	1000.49	427.32	749.8	726.4
10821494	57.99	60.9	61.92	55.64	55.53	51.6
10821496	38.91	37.69	38.92	39.44	40.2	36.58
10821511	929.08	931.25	867.45	805.51	791.03	862.69
10821540	132.61	133.7	137.07	111.54	120.36	121.66
10821542	24.58	24.3	21.13	21.51	22.16	18.72
10821546	831.01	801.37	794.97	810.28	804.89	781.78
10821552	89.83	91.55	113.62	92.8	85.86	93.93
10821556	948.89	1042.04	944.87	738.73	794.7	914.85
10821581	137.3	110.89	99.75	121.53	109.31	105.46
10821585	608.6	772.02	716.7	609.12	682.06	717.28
10821587	634.83	575.6	579.99	559.15	535.32	556.86
10821598	322.03	322.88	297.57	262.53	298.63	268.94
10821600	162.76	198.17	193.03	166.57	170.73	171.7
10821602	110.89	128.45	145.13	90.56	107.91	108.21
10821605	51.47	54.01	51.52	59.28	55.09	50.92
10821607	53.84	54.64	54.64	55.14	49.16	56.97
10821612	141.15	138.56	137.2	160.1	141.67	132.79
10821623	51.94	38.83	44.1	44.47	40.07	36.54
10821632	505.49	471.02	473.7	235.66	345.52	337.27
